Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,0.7876327539058101,0.7845980648235709,0.7813983746454747,0.7654270761184795,0.7568520291087316,0.7475342101460896,0.7381361298953111,0.7279541728078334,0.719470443125382,0.7059131528399805,0.6942552379392329,0.6820778783282699,0.6694494976317438,0.6565082691628651,0.6430478760654963,0.6291998157258586,0.6149870468031516,0.6004331992083847,0.5855624896193873,0.5703996522593515,0.5540848258718533
2,5,1.7571476433121624,1.7502665009341296,1.7428478758331225,1.6726400698798434,1.642139780667365,1.611514344086213,1.579795967702167,1.5471480902343993,1.5166929692749642,1.477778859394692,1.4379943383903777,1.4058007829993537,1.3074784039282625,1.2730070780707095,1.2298176877807951,1.239120244552178,1.1341233206459642,1.0894986295101874,1.0425472889843574,0.9939220492425515,0.9453950310886216
3,5,2.4347439413194625,2.4337879093053445,2.432281851940909,2.4038412978766064,2.38697045925745,2.366066013065856,2.3393730719137182,2.306120052182247,2.2688455018648295,2.2130114228887674,2.1527222051581973,2.084302842507124,1.940542440539902,1.8592362584394728,1.7410461006827138,1.7164522936006565,1.4872306323224511,1.3798059087881844,1.2787282670899411,1.179780011228268,1.09146834239354
4,5,2.603478180815224,2.602451618708769,2.5979573450968734,2.5729210700839666,2.5530917179618027,2.523877962087651,2.479973428864154,2.4259918933921165,2.3651777689829547,2.27351445211669,2.173318069517044,2.0605238619009674,1.8646061996506067,1.7174381655174702,1.5858942316083107,1.5562228045017406,1.2356731374562733,1.1301838628105658,1.0483092431121157,0.9865145140741404,0.9314792040903457
5,5,2.6347250229915673,2.6336650570758886,2.630992984393148,2.616535906192443,2.5994905756526623,2.5731335115137903,2.5314821759734762,2.478088584537775,2.4119967178976793,2.3224141593285714,2.218004252380446,2.1092130445130888,1.8721386766269426,1.7681084832625675,1.6679574403080035,1.6594832591302051,1.3080750819193938,1.2546682591470029,1.196168343601759,1.1867375560672897,1.1461407493431894
6,5,2.671982086908122,2.673274814673386,2.6738213890817706,2.6710124657220606,2.660084470682746,2.6392033387031346,2.6043431339979874,2.554848478111274,2.488701523532693,2.4053759589849606,2.315523280515326,2.1938952442286106,1.937100309224093,1.8627292852721373,1.7762991726660948,1.734863221967682,1.256665117401259,1.2283282793254795,1.1431877373943355,1.0706742860714409,1.0233410859454957
7,5,2.6665581210060956,2.6670167938826976,2.6652174512410656,2.6553014844510656,2.640978812534037,2.614675196936848,2.565712966287012,2.5015205014750648,2.4182204965433094,2.3077480230949456,2.189494275430424,2.028724992898947,1.7486352920752006,1.6648901798442959,1.5826417079600847,1.4977975698078143,0.4804428649193523,0.5144785841990271,0.46412317851363544,0.38773444350400066,0.33876765838962175
8,5,2.642982137225658,2.645650973257718,2.6479717168509493,2.639623895736086,2.6291369160568023,2.609277658032275,2.567954798362893,2.5099302837362423,2.4358390832075414,2.3439099487920623,2.2407574978299514,2.0806788095354363,1.7159563020138366,1.669157369622253,1.4710727848942964,1.5380223450562023,0.15066924671441484,0.1601146696995696,0.12962311560153475,0.09210411068913615,0.07581146326987184
9,5,2.655989897740317,2.657624243935905,2.6567794526381725,2.6412979637562275,2.626202325549856,2.602674722141675,2.563839538962257,2.5111933133158075,2.4069150715331515,2.343662852402259,2.2109662061657818,2.0230408266049333,1.4980156136530396,1.4368268244574185,1.1410382664753334,1.4000087757712376,0.032182338004834055,0.03300754270443357,0.025406966628025524,0.016491266424444997,0.008942298188178533
