Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,3.4670187548831706,3.425651425721937,3.3828781051266943,3.338764025618433,3.2933732477355617,3.2467683716747096,3.1990104616752193,3.1501591815183096,3.100273131673588,3.0494103710496043,2.9976290991774084,2.944988468198389,2.8915494885005626,2.837375987542018,2.78253557861411,2.727100595300687,2.671148948386296,2.6147648650477735,2.5580394752803755,2.501071217447462,2.4439660432268804
2,6,5.968875705153257,5.8427469647750465,5.70204214564133,5.547906876209028,5.381965349594269,5.206282795807927,5.023160250064259,4.835007870868838,4.644205091638254,4.453007555898766,4.263420372501894,4.077198037238847,3.895814700654713,3.720420714055185,3.5519031064920967,3.3908610171971856,3.237673321837836,3.09254727680631,2.9555530108537402,2.8262880330100923,2.700045581255452
3,6,6.9320110594381505,6.832962244058538,6.701904674943579,6.538394944744596,6.345595079816305,6.128496682219318,5.893848346881271,5.648984007936883,5.400506482368765,5.154124383014382,4.914653828301442,4.685480949293278,4.469091977930881,4.266878845679696,4.079612124260195,3.9073360735592475,3.749688860990026,3.605617828554442,3.4745710390498825,3.3551610298277823,3.233425492120172
4,6,7.162490792811825,7.1141561853263005,7.024203468551335,6.881193387144297,6.679942251864564,6.4255459064277245,6.132173828294751,5.8189133705283425,5.503365540207345,5.199196726393233,4.915449796346216,4.656913145635262,4.424715586993242,4.2179413578380975,4.035481722624272,3.874299110269281,3.7316341581202734,3.604936085366934,3.491359980457591,3.388418965651472,3.2902438005074344
5,6,7.1777037775912245,7.164501704149497,7.122905486538158,7.033536932961059,6.8730891717112375,6.6227312414411825,6.284273049896346,5.884506554636416,5.461775833377993,5.051368887655358,4.676013220858429,4.346541027539353,4.066650832536756,3.832837759373097,3.6399489185148104,3.482382236373497,3.3534410969862334,3.2468948119879744,3.157649750093096,3.0805267701311503,3.0089284681674457
6,6,7.1705232000239665,7.168441713600837,7.145044838823163,7.081207699343147,6.944374282102809,6.696021323494409,6.319389124071977,5.846448414821143,5.342156074940734,4.863564773564627,4.443386229861223,4.093193032248104,3.810977158532035,3.588894644569165,3.4167305418947413,3.2858362949020035,3.1884939617513446,3.1171290493068526,3.068323696584681,3.0379017907310732,3.0074190853547487
7,6,7.199178232234118,7.184343025647893,7.129712624806882,6.998976894823987,6.7418655715904965,6.330189742637726,5.7962268360621385,5.2219588163611,4.6798028392717335,4.209255788943171,3.822550855352826,3.515323432534859,3.2751085923998224,3.0898576714058925,2.9490287733938763,2.843196005539155,2.765596423006736,2.713366363834721,2.683055184712024,2.6716315227008436,2.6665161892897653
8,6,7.202921738548885,7.189741533879507,7.151276723359299,7.070244979965797,6.92386875305229,6.690751270981027,6.366962971903507,5.973639485374243,5.552980378653073,5.147830072663629,4.78623505673123,4.479047814269221,4.22318673505714,4.009429668014785,3.8301852745386578,3.6747466760718455,3.538197026962773,3.415086595233699,3.302264059297379,3.1971687007042386,3.107169696288691
9,6,7.190777598383597,7.164687914312522,7.107980925972383,7.006430832739719,6.845218920675803,6.618395984957465,6.338664466064677,6.028373610170303,5.704676490029335,5.377326964675978,5.052932312462799,4.7451081831427535,4.466895840829319,4.2261099670849624,4.023875786166293,3.855666294816721,3.7155474141758167,3.596532326858172,3.4911456312194726,3.393482896205452,3.3028892524595954
10,6,7.227773654010261,7.213530501965436,7.175931462770333,7.10177024674342,6.974144689034645,6.768171663341277,6.454493880299243,6.026641821391438,5.5350408152321435,5.059921929713739,4.651171675853308,4.321800721775716,4.064457592747541,3.8659871974441256,3.711375542461486,3.5897921947251072,3.4906043153259034,3.406274214660462,3.330984139477129,3.2587838683252257,3.192055635827078
11,6,7.22693082876634,7.223628239642022,7.199193885328765,7.137958925819722,7.0147454911786005,6.799369830959842,6.480818067042814,6.088483750937798,5.673114096826109,5.277169750672872,4.915030615505667,4.592062746111328,4.312237980733812,4.0759377154213245,3.8807618622558127,3.7195008968510987,3.5858096332724085,3.4717044220040103,3.370744857256602,3.2751584650724097,3.1897257677898536
12,6,7.196671653352576,7.188339894146217,7.158937264579313,7.0792439225251105,6.901060564502741,6.590648476748848,6.17484795894421,5.7162333975371205,5.229754232081328,4.721134165629165,4.222689586427139,3.7803294185631984,3.4106489399118467,3.112403871164657,2.880367524345106,2.702314374802218,2.5730128574992097,2.486207917713722,2.4371826394670473,2.4193656770649135,2.434218067416681
